ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Meta: hwp_product_gtin
12749033_whinging-rissole_TQTSI,variable,12749033_whinging-rissole_TQTSI,Space Turtles iPhone Case,1,0,visible,,"Double layer clip-on protective case with extra durability
Impact resistant polycarbonate shell and shock absorbing inner TPU liner
Super-bright colors embedded directly into the case
Secure fit with design wrapping around side of the case and full access to ports
Compatible with Qi-standard wireless charging
iPhone 13/14/15 cases are MagSafe-compatible when laid flat on the charger. There is no magnet in the case
iPhone SE (2020) / iPhone 8 cases also fit iPhone SE (2022)
Weight 30g
Thickness 1/8 inch (3mm)
iPhone cases may have a slight variance due to your local fulfiller",,,taxable,,1,,,0,0,,,,,1,,,,iPhone Case,,,"https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg, https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cside%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg, https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cend%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg, https://ih1.redbubble.net/image.994491797.9033/flat%2C750x1000%2C075%2Ct.u1.jpg, https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cback%2Ca%2Cx1000-pad%2C1000x1000%2Cf8f8f8.u1.jpg, https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cback%2Ca%2Cx600-pad%2C600x600%2Cf8f8f8.u1.jpg",,,,,,,,,0,Model,"iPhone 15,iPhone 15 Plus,iPhone 15 Pro,iPhone 15 Pro Max,iPhone 14,iPhone 14 Plus,iPhone 14 Pro,iPhone 14 Pro Max,iPhone 13,iPhone 13 Pro,iPhone 13 mini,iPhone 13 Pro Max,iPhone 12,iPhone 12 Pro,iPhone 12 mini,iPhone 12 Pro Max,iPhone 11,iPhone 11 Pro,iPhone 11 Pro Max,iPhone XS,iPhone XS Max,iPhone XR,iPhone X,iPhone SE (2020)/8,iPhone 8 Plus,iPhone 7,iPhone 7 Plus,iPhone 6s,iPhone 6s Plus,iPhone 6,iPhone 6 Plus,iPhone SE (2016)/5s/5,iPhone 5c,iPhone 4s/4",1,1,iPhone 15,Case_type,"Soft Case,Snap Case,Tough Case,Skin",1,1,Soft Case
12749033_whinging-rissole_TQTSI,variation,12749033_whinging-rissole_TQTSI,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 15,,1,
12749033_whinging-rissole_0J356,variation,12749033_whinging-rissole_0J356,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 15 Pro,,1,
12749033_whinging-rissole_8VRYZ,variation,12749033_whinging-rissole_8VRYZ,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_plus_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 15 Plus,,1,
12749033_whinging-rissole_XT5CS,variation,12749033_whinging-rissole_XT5CS,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_pro_max_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 15 Pro Max,,1,
12749033_whinging-rissole_9YLDE,variation,12749033_whinging-rissole_9YLDE,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 14,,1,
12749033_whinging-rissole_3M4LZ,variation,12749033_whinging-rissole_3M4LZ,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_plus_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 14 Plus,,1,
12749033_whinging-rissole_AE90S,variation,12749033_whinging-rissole_AE90S,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 14 Pro,,1,
12749033_whinging-rissole_L61F5,variation,12749033_whinging-rissole_L61F5,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_pro_max_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 14 Pro Max,,1,
12749033_whinging-rissole_BQ7KE,variation,12749033_whinging-rissole_BQ7KE,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 13,,1,
12749033_whinging-rissole_FGPQW,variation,12749033_whinging-rissole_FGPQW,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 13 Pro,,1,
