ID,Title,URL,Src,Type,Style,Color,Size
,Bamboo Chest Pocket Short Sleeves Casual Shirts,https://www.hawalili.com/products/men-casual-summer-plants-polyester-micro-elasticity-daily-loose-short-sleeve-regular-aloha-shirts-14962548?variant=3496993,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-17/O1CN01Bo2T0o1aQtiOoiveB_-4134413325-0-cib-1668682030389.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-17/O1CN01QN8Xj51aQtiFyYmOI_-4134413325-0-cib-1668682030407.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-17/O1CN01dw6Cxj1aQtiMnSXyZ_-4134413325-0-cib-1668682030935.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-17/O1CN01OIGqHg1aQtiOoi7os_-4134413325-0-cib-1668682030666.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-06/30/811eb83ad70bb9689debdb299698f9d2.jpg,,,"White,Apricot","M,L,XL,XXL,3XL,4XL"
,Marble Texture Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/casual-abstract-summer-polyester-lightweight-commuting-loose-buttons-shirt-collar-aloha-shirts-for-men-15255360?variant=3653686,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01pXOyyO1aQtkHtIg69_-4134413325-0-cib-1680082049399.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01X1hgJ61aQtk6cIdYu_-4134413325-0-cib-1680082049714.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01aBNwEP1aQtkIitZGX_-4134413325-0-cib-1680082049577.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01dOt0041aQtkBAB4r4_-4134413325-0-cib-1680082049163.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Rooster Painting Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/casual-animal-summer-polyester-lightweight-holiday-loose-short-sleeve-shirt-collar-aloha-shirts-for-men-15255394?variant=3654280,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN013Col5F1aQtk28cJGO_-4134413325-0-cib-1679472582432.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01kLFwx91aQtk9JHTy8_-4134413325-0-cib-1679472582586.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN011KhAsL1aQtjzKEqWr_-4134413325-0-cib-1679472582618.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01jDrf8U1aQtk2BFmnK_-4134413325-0-cib-1679472582886.jpg,,,Green,"M,L,XL,XXL,3XL,4XL"
,Dolphin Chest Pocket Short Sleeve Hawaiian Shirt,https://www.hawalili.com/products/men-summer-vacation-sea-polyester-lightweight-micro-elasticity-loose-h-line-shirt-collar-aloha-shirts-15210845?variant=3612220,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-08/O1CN01j1GjNR1XlYl5pIjv3_-2200729362964-0-cib-1678269072722.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-08/O1CN01SuGDZh1XlYl4kiF00_-2200729362964-0-cib-1678269072262.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-08/O1CN01FJVPwU1XlYkuJZjcF_-2200729362964-0-cib-1678269072707.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Lighthouse Chest Pocket Short Sleeve Hawaiian Shirt,https://www.hawalili.com/products/painting-summer-vacation-lightweight-micro-elasticity-loose-short-sleeve-h-line-shirt-collar-aloha-shirts-for-men-15228442?variant=3629656,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01T5ax4M1aQtk1y0mNf_-4134413325-0-cib-1680081524841.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01gkWIlm1aQtk6dufXl_-4134413325-0-cib-1680081524972.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN01thxwYN1aQtkCFAPlE_-4134413325-0-cib-1680081524209.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-29/O1CN011tCa821aQtkHuvuyv_-4134413325-0-cib-1680081524495.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Mens Hawaii Tiki Print Front Buttons Soft Breathable Chest Pocket Casual Hawaiian Shirt,https://www.hawalili.com/products/mens-hawaii-tiki-print-front-buttons-soft-breathable-chest-pocket-casual-hawaiian-shirts-13935020?variant=2980067,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-28/44d76df4ae04e39f1c6454d0e2a6f877.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-29/3fb162269dfb17c60a2c2d0ca2c53010.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-29/aba5ebb50a2b6cf425b695b03c37b964.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/bc2ee6fecbf81290d1fbc7bb2110ccab.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/a6d088f6cf2ed73f5f0e7555888f54e0.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/044d134f108adeb50a545b9e1bc99fc3.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/9dde05303ee6b5ccf74d7fdbeeb8fa3c.jpg,,,Black,"M,L,XL,XXL,3XL,4XL"
,Geometric Stripe Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/men-striped-casual-summer-polyester-micro-elasticity-loose-short-sleeve-h-line-shirt-collar-aloha-shirts-15255392?variant=3653794,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01zFclwu1aQtk8BSeZg_-4134413325-0-cib-1679472619229.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01tcf3Cz1aQtk03e00r_-4134413325-0-cib-1679472619867.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01GDCLXJ1aQtjzKCQja_-4134413325-0-cib-1679472619410.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01pGFBro1aQtk28a1lt_-4134413325-0-cib-1679472619412.jpg,,,Black-white,"M,L,XL,XXL,3XL,4XL"
,Gradient Sea Turtle Short Sleeve Guayabera Shirt,https://www.hawalili.com/products/summer-vacation-turtle-polyester-micro-elasticity-moisture-permeability-commuting-buttons-regular-guayabera-shirts-for-men-15255484?variant=3654383,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03/29/d7791282d75af297560f8d38cc14241c.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/cd884a98999c964bca851ab7a9f24cf9.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/794596c3be0afb6e12c0d1792ec4b2a1.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/113d764bc1f64919ca354a9d458061b4.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/eaf70620fbcbf15b51e82c7b2e8c2e76.jpg,,,Green,"M,L,XL,XXL,3XL,4XL"
,Abstract Geometric Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/men-casual-abstract-summer-lightweight-micro-elasticity-loose-short-sleeve-regular-h-line-aloha-shirts-15255460?variant=3654304,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01ine2N61aQtjxZpt1g_-4134413325-0-cib-1679451170409.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01LNGDek1aQtjxZp58F_-4134413325-0-cib-1679451170751.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01JjSJRI1aQtk68osdu_-4134413325-0-cib-1679451170642.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-22/O1CN01r4sB7n1aQtk7EThqT_-4134413325-0-cib-1679451170427.jpg,,,Purple,"M,L,XL,XXL,3XL,4XL"
,Gradient Color Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/men-casual-summer-gradient-pattern-polyester-lightweight-daily-short-sleeve-regular-h-line-aloha-shirts-15164101?variant=3590030,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-02/O1CN01VHNtbl1aQtjYqe3ju_-4134413325-0-cib-1677759414421.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-02/O1CN0199Ddx41aQtjfZ9vtJ_-4134413325-0-cib-1677759414114.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-02/O1CN01eU8ic71aQtjbOiU17_-4134413325-0-cib-1677759414505.jpg,,,Purple,"S,M,L,XL,XXL,3XL,4XL"
