ID,Title,URL,Src,Type,Style,Color,Size
2133116496,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Team Purple","S,M,L,XL,2XL"
2133116496,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,Ringer T-shirt,"White/Red,Red/Jet Black,White/Jet Black,Navy/Gold,Athletic Heather/Jet Black,Dark Heather Grey/Jet Black,Gold/Royal,Heather Navy/Navy,Heather Royal/Navy","S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
2133116496,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,Heavyweight T-shirt ,"Black,White,Navy,Red,Charcoal,Sport grey,Light blue,Orange,Royal,Irish Green,Turf Green","S,M,L,XL,2XL,3XL,4XL,5XL"
2133115853,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,Classic T-shirt ,"Black,White,Navy,Red,Charcoal,Sport grey,Light blue,Orange,Royal,Irish Green","S,M,L,XL,2XL,3XL,4XL,5XL"
2133115853,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,Tri-Blend T-Shirt (Extra Soft),"Vintage Black,Premium Heather,Vintage Navy,Vintage Red,Vintage Royal,Heather White","S,M,L,XL,2XL"
2133116437,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Women,V-neck T-shirt,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Team Purple","S,M,L,XL,2XL"
2133116211,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Women,Ringer T-shirt,"White/Red,Red/Jet Black,White/Jet Black,Navy/Gold,Athletic Heather/Jet Black,Dark Heather Grey/Jet Black,Gold/Royal,Heather Navy/Navy,Heather Royal/Navy","S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
2133116492,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Women,Classic T-shirt,"Black,White,Navy,Royal blue,Red,Dark Heather,Purple,Heather Grey,Light blue,Light Pink","S,M,L,XL,2XL"
2133116492,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Women,Tri-Blend T-Shirt (Extra Soft) ,"Vintage Black,Premium Heather,Vintage Navy,Vintage Red,Vintage Royal,Heather White","S,M,L,XL,2XL"
2133116316,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Youth,Heavyweight T-shirt ,"Black,White,Navy,Red,Sport grey,Light blue,Orange,Royal","XS,S,M,L,XL"
2133116538,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Kids,Kids Softstyle Tee ,"Black,White,Navy,Red,Purple,Light Pink,Royal,Irish Green","XS,S,M,L,XL"
2133116538,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Kids,Kids Long Sleeve,"Black,White,Navy,Red,Heather Grey,Light blue,Pink,Royal","4T,2T,3T,5-6T"
2133116655,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Kids,Kids Pullover Hoodie,"Black,White,Navy,Red,Purple,Orange,Pink,Kelly,Royal,Turquoise,Raspberry,Heather","4T,2T,5-6T"
