ID,Title,URL,Price,Src,Type,Style,Color,Size
2133116496,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,$15.95,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Team Purple","S,M,L,XL,2XL"
2133116496,Custom T-Shirts,https://printerval.com/custom-t-shirts-p208225?internal_source=category-t-shirts,$15.95,https://assets.printerval.com/2022/07/22/screenshot-49-55a61bb5ecdca754ca1f53e49d3c3fdf.png,Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Team Purple","S,M,L,XL,2XL"
2133093924,1.50 Costco Hot Dog & Soda Combo T-Shirt,https://printerval.com/1-50-costco-hot-dog-soda-combo-t-shirt-p41345330?internal_source=category-t-shirts,$18.95,"https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-1,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-2,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-3,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-4,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-5,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL,2XL"
2133093924,1.50 Costco Hot Dog & Soda Combo T-Shirt,https://printerval.com/1-50-costco-hot-dog-soda-combo-t-shirt-p41345330?internal_source=category-t-shirts,$18.95,"https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-1,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-2,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-3,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-4,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg, https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-5,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL,2XL"
3278608178,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
3278608178,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
3278608178,Vintage-Awana clubs T-Shirts,https://printerval.com/vintage-awana-clubs-t-shirts-p41219286?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
3278607103,Vintage-Awana clubs T-Shirts,https://printerval.com/vintage-awana-clubs-t-shirts-p41219286?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-07-27+6327a9a8-ecb7-4b8b-aac5-da6d419d7209,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,"Bon Jovi 2022 Tour T-Shirt,Thank for memory, Bon Jovi Tour 2022 Shirt",https://printerval.com/bon-jovi-2022-tour-t-shirt-thank-for-memory-bon-jovi-tour-2022-shirt-p1303444?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,"Bon Jovi 2022 Tour T-Shirt,Thank for memory, Bon Jovi Tour 2022 Shirt",https://printerval.com/bon-jovi-2022-tour-t-shirt-thank-for-memory-bon-jovi-tour-2022-shirt-p1303444?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-15+e09a02de-c0fa-4556-bce8-a918c0ab2fb3,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
